mepid,result,eugroup,identifier
23788,for,ECR,169407
257073,for,ECR,169407
99878,for,ECR,169407
257147,for,ECR,169407
257076,for,ECR,169407
96810,for,ECR,169407
197607,for,ECR,169407
256986,for,ECR,169407
257055,for,ECR,169407
257144,for,ECR,169407
257056,for,ECR,169407
197469,for,ECR,169407
220871,for,ECR,169407
256845,for,ECR,169407
257077,for,ECR,169407
257080,for,ECR,169407
239260,for,ECR,169407
257058,for,ECR,169407
257086,for,ECR,169407
257150,for,ECR,169407
257145,for,ECR,169407
256907,for,ECR,169407
257104,for,ECR,169407
197773,for,ECR,169407
197545,for,ECR,169407
257109,for,ECR,169407
204346,for,ECR,169407
257114,for,ECR,169407
125106,for,ECR,169407
257099,for,ECR,169407
197552,for,ECR,169407
257052,for,ECR,169407
124877,for,ECR,169407
197572,for,ECR,169407
124884,for,ECR,169407
197475,for,ESN,169407
256951,for,ESN,169407
256948,for,ESN,169407
257457,for,ESN,169407
256945,for,ESN,169407
190574,for,ESN,169407
256941,for,ESN,169407
256924,for,ESN,169407
257262,for,ESN,169407
256959,for,ESN,169407
257070,for,ESN,169407
257069,for,ESN,169407
256858,for,NI,169407
23868,for,NI,169407
257064,for,NI,169407
257072,for,NI,169407
257120,for,NI,169407
257022,for,NI,169407
257007,for,NI,169407
257118,for,NI,169407
257018,for,NI,169407
257019,for,NI,169407
96653,for,NI,169407
256971,for,NI,169407
256967,for,NI,169407
256810,for,PPE,169407
197490,for,PPE,169407
256820,for,PPE,169407
113523,for,PPE,169407
96808,for,PPE,169407
197492,for,PPE,169407
256887,for,PPE,169407
256947,for,PPE,169407
197534,for,PPE,169407
197408,for,PPE,169407
197778,for,PPE,169407
125012,for,PPE,169407
257047,for,PPE,169407
257081,for,PPE,169407
257296,for,PPE,169407
124861,for,PPE,169407
257034,for,PPE,169407
257028,for,PPE,169407
256862,for,PPE,169407
204333,for,PPE,169407
257237,for,PPE,169407
197473,for,PPE,169407
257048,for,PPE,169407
96787,for,PPE,169407
257035,for,PPE,169407
257137,for,PPE,169407
256840,for,PPE,169407
1917,for,PPE,169407
197414,for,PPE,169407
2341,for,PPE,169407
257032,for,PPE,169407
256866,for,PPE,169407
251874,for,PPE,169407
124807,for,PPE,169407
256919,for,PPE,169407
125027,for,PPE,169407
97399,for,PPE,169407
220908,for,PPE,169407
256985,for,PPE,169407
197514,for,PPE,169407
193419,for,PPE,169407
197412,for,PPE,169407
256918,for,PPE,169407
197840,for,PPE,169407
96934,for,PPE,169407
197839,for,PPE,169407
125068,for,PPE,169407
257042,for,PPE,169407
256831,for,PPE,169407
256973,for,PPE,169407
256846,for,PPE,169407
256861,for,PPE,169407
197525,for,PPE,169407
97968,for,PPE,169407
197843,for,PPE,169407
256864,for,PPE,169407
256865,for,PPE,169407
257261,for,PPE,169407
256920,for,PPE,169407
95074,for,PPE,169407
23781,for,PPE,169407
1927,for,PPE,169407
124808,for,PPE,169407
220896,for,PPE,169407
190713,for,PPE,169407
96936,for,PPE,169407
256980,for,PPE,169407
197662,for,PPE,169407
256943,for,PPE,169407
256974,for,PPE,169407
197711,for,PPE,169407
257151,for,PPE,169407
124802,for,PPE,169407
257027,for,PPE,169407
256847,for,PPE,169407
4289,for,PPE,169407
124701,for,PPE,169407
257049,for,PPE,169407
257040,for,PPE,169407
110673,for,PPE,169407
197738,for,PPE,169407
197404,for,PPE,169407
257041,for,PPE,169407
197413,for,PPE,169407
125670,for,PPE,169407
256809,for,PPE,169407
256979,for,PPE,169407
197422,for,PPE,169407
28223,for,PPE,169407
86057,for,PPE,169407
197426,for,PPE,169407
125325,for,PPE,169407
256889,for,PPE,169407
257068,for,PPE,169407
119435,for,PPE,169407
256863,for,PPE,169407
257089,for,PPE,169407
256968,for,PPE,169407
197402,for,PPE,169407
256814,for,PPE,169407
125104,for,PPE,169407
256950,for,PPE,169407
256983,for,PPE,169407
96756,for,PPE,169407
98582,for,PPE,169407
124726,for,PPE,169407
96761,for,PPE,169407
125065,for,PPE,169407
197429,for,PPE,169407
197405,for,PPE,169407
257045,for,PPE,169407
257046,for,PPE,169407
28229,for,PPE,169407
256977,for,PPE,169407
39725,for,PPE,169407
197652,for,PPE,169407
197421,for,PPE,169407
197606,for,PPE,169407
124713,for,PPE,169407
124893,for,PPE,169407
185341,for,PPE,169407
96933,for,PPE,169407
197691,for,PfE,169407
124973,for,PfE,169407
256852,for,PfE,169407
256881,for,PfE,169407
101039,for,PfE,169407
256878,for,PfE,169407
220840,for,PfE,169407
197786,for,PfE,169407
236050,for,PfE,169407
256886,for,PfE,169407
96826,for,PfE,169407
256874,for,PfE,169407
256853,for,PfE,169407
256857,for,PfE,169407
256876,for,PfE,169407
256896,for,PfE,169407
28150,for,PfE,169407
197628,for,PfE,169407
96830,for,PfE,169407
23816,for,PfE,169407
189065,for,PfE,169407
197627,for,PfE,169407
197528,for,PfE,169407
256909,for,PfE,169407
256860,for,PfE,169407
256954,for,PfE,169407
256895,for,PfE,169407
197623,for,PfE,169407
256843,for,PfE,169407
256883,for,PfE,169407
126699,for,PfE,169407
256877,for,PfE,169407
256893,for,PfE,169407
204414,for,PfE,169407
256844,for,PfE,169407
256882,for,PfE,169407
197690,for,PfE,169407
88552,for,PfE,169407
197578,for,PfE,169407
213330,for,PfE,169407
256871,for,PfE,169407
256855,for,PfE,169407
200345,for,PfE,169407
256888,for,PfE,169407
256875,for,PfE,169407
257125,for,PfE,169407
5736,for,PfE,169407
256859,for,PfE,169407
124875,for,PfE,169407
256987,for,Renew,169407
256869,for,Renew,169407
197400,for,Renew,169407
124766,for,Renew,169407
197781,for,Renew,169407
257003,for,Renew,169407
257110,for,Renew,169407
257020,for,Renew,169407
197577,for,Renew,169407
256841,for,Renew,169407
96711,for,Renew,169407
256891,for,Renew,169407
197558,for,Renew,169407
257057,for,Renew,169407
256870,for,Renew,169407
197430,for,Renew,169407
257038,for,Renew,169407
256970,for,Renew,169407
96940,for,Renew,169407
204419,for,Renew,169407
197780,for,Renew,169407
197557,for,Renew,169407
197444,for,Renew,169407
135511,for,Renew,169407
198073,for,Renew,169407
197770,for,Renew,169407
197401,for,Renew,169407
257013,for,Renew,169407
191693,for,Renew,169407
22858,for,Renew,169407
257037,for,Renew,169407
197445,for,Renew,169407
198084,for,Renew,169407
197494,for,Renew,169407
197432,for,Renew,169407
257257,for,Renew,169407
256815,for,Renew,169407
256946,for,Renew,169407
256962,for,Renew,169407
256839,for,Renew,169407
257438,for,Renew,169407
256976,for,Renew,169407
257061,for,Renew,169407
130100,for,Renew,169407
197502,for,Renew,169407
256879,for,Renew,169407
214839,for,Renew,169407
197769,for,Renew,169407
257011,for,Renew,169407
197581,for,Renew,169407
256807,for,Renew,169407
257123,for,S&D,169407
256829,for,S&D,169407
28307,for,S&D,169407
256934,for,S&D,169407
256936,for,S&D,169407
247735,for,S&D,169407
124867,for,S&D,169407
197498,for,S&D,169407
197435,for,S&D,169407
112748,for,S&D,169407
197440,for,S&D,169407
257002,for,S&D,169407
197782,for,S&D,169407
245018,for,S&D,169407
257169,for,S&D,169407
256937,for,S&D,169407
256938,for,S&D,169407
38542,for,S&D,169407
